path,emotion_class,augmented
../mfcc_images/IEMOCAP/Session3/sentences/wav/Ses03M_impro03/Ses03M_impro03_F022.png,1,0
../mfcc_images/IEMOCAP/Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F011.png,2,0
../mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01M_script03_2/Ses01M_script03_2_F039.png,0,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05F_impro08/Ses05F_impro08_F032.png,2,0
../mfcc_images/IEMOCAP/Session2/sentences/wav/Ses02F_script01_1/Ses02F_script01_1_F038.png,0,0
../mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_M019.png,1,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M015.png,0,0
../mfcc_images/IEMOCAP/Session3/sentences/wav/Ses03M_impro05b/Ses03M_impro05b_M023.png,0,0
../mfcc_images/IEMOCAP/Session4/sentences/wav/Ses04M_script03_1/Ses04M_script03_1_M033.png,2,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05M_impro05/Ses05M_impro05_F012.png,2,0
../mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M049.png,1,0
../mfcc_images/IEMOCAP/Session4/sentences/wav/Ses04M_impro06/Ses04M_impro06_M005.png,3,0
../mfcc_images/IEMOCAP/Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F012.png,1,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05M_impro04/Ses05M_impro04_F027.png,2,0
../mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01M_script01_3/Ses01M_script01_3_M028.png,3,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05F_impro06/Ses05F_impro06_F022.png,3,0
../mfcc_images/IEMOCAP/Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_M014.png,3,0
../mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01M_script01_3/Ses01M_script01_3_M001.png,1,0
../mfcc_images/IEMOCAP/Session3/sentences/wav/Ses03F_script01_2/Ses03F_script01_2_M007.png,2,0
../mfcc_images/IEMOCAP/Session4/sentences/wav/Ses04F_impro04/Ses04F_impro04_M006.png,2,0
../mfcc_images/IEMOCAP/Session4/sentences/wav/Ses04F_impro04/Ses04F_impro04_M008.png,2,0
../mfcc_images/IEMOCAP/Session4/sentences/wav/Ses04F_impro01/Ses04F_impro01_F019.png,0,0
../mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_F003.png,3,0
../mfcc_images/IEMOCAP/Session3/sentences/wav/Ses03F_script03_2/Ses03F_script03_2_F039.png,0,0
../mfcc_images/IEMOCAP/Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F014.png,2,0
../mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01M_impro05/Ses01M_impro05_M021.png,0,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M044.png,0,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05M_impro07/Ses05M_impro07_F031.png,1,0
../mfcc_images/IEMOCAP/Session4/sentences/wav/Ses04F_script02_1/Ses04F_script02_1_M011.png,1,0
../mfcc_images/IEMOCAP/Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_M021.png,0,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_M000.png,2,0
../mfcc_images/IEMOCAP/Session5/sentences/wav/Ses05F_script02_1/Ses05F_script02_1_F015.png,2,0
../mfcc_images/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M041.png,1,0
