path,emotion_class,augmented
../mfcc_images/EMODB/wav/16b01Fa.png,1,0
../mfcc_images/EMODB/wav/14b01Fc.png,1,0
../mfcc_images/EMODB/wav/09b03Nb.png,2,0
../mfcc_images/EMODB/wav/08a07Wc.png,0,0
../mfcc_images/EMODB/wav/12a04Wc.png,0,0
../mfcc_images/EMODB/wav/09a07Wb.png,0,0
../mfcc_images/EMODB/wav/03a01Fa.png,1,0
../mfcc_images/EMODB/wav/08b09Fd.png,1,0
../mfcc_images/EMODB/wav/13a01Nb.png,2,0
../mfcc_images/EMODB/wav/13b10Fa.png,1,0
../mfcc_images/EMODB/wav/13b03Fd.png,1,0
../mfcc_images/EMODB/wav/03a05Tc.png,3,0
../mfcc_images/EMODB/wav/11b10Wa.png,0,0
../mfcc_images/EMODB/wav/10a07Ta.png,3,0
../mfcc_images/EMODB/wav/08b01Na.png,2,0
../mfcc_images/EMODB/wav/15b09Nb.png,2,0
../mfcc_images/EMODB/wav/11a01Nd.png,2,0
../mfcc_images/EMODB/wav/11a05Fb.png,1,0
../mfcc_images/EMODB/wav/10a07Wb.png,0,0
../mfcc_images/EMODB/wav/03b03Wc.png,0,0
../mfcc_images/EMODB/wav/15a02Wb.png,0,0
../mfcc_images/EMODB/wav/11b01Wd.png,0,0
../mfcc_images/EMODB/wav/12a05Ta.png,3,0
../mfcc_images/EMODB/wav/13b09La.png,3,0
../mfcc_images/EMODB/wav/08a07Ta.png,3,0
../mfcc_images/EMODB/wav/10b10Fc.png,1,0
../mfcc_images/EMODB/wav/09a05Wc.png,0,0
../mfcc_images/EMODB/wav/08b10Nc.png,2,0
../mfcc_images/EMODB/wav/13b10Nc.png,2,0
../mfcc_images/EMODB/wav/16a02Nb.png,2,0
../mfcc_images/EMODB/wav/10b02Wb.png,0,0
../mfcc_images/EMODB/wav/09b01Wb.png,0,0
../mfcc_images/EMODB/wav/15b02Wc.png,0,0
../mfcc_images/EMODB/wav/16b03Fa.png,1,0
../mfcc_images/EMODB/wav/15a07Nc.png,2,0
../mfcc_images/EMODB/wav/03b01Td.png,3,0
../mfcc_images/EMODB/wav/13a05Tc.png,3,0
../mfcc_images/EMODB/wav/16a01Nc.png,2,0
../mfcc_images/EMODB/wav/15a05Fb.png,1,0
../mfcc_images/EMODB/wav/08b03Wd.png,0,0
../mfcc_images/EMODB/wav/15a04Wa.png,0,0
../mfcc_images/EMODB/wav/16a04Wb.png,0,0
../mfcc_images/EMODB/wav/11b10Td.png,3,0
../mfcc_images/EMODB/wav/14b09Fc.png,1,0
../mfcc_images/EMODB/wav/12a07Wa.png,0,0
../mfcc_images/EMODB/wav/12a01Nb.png,2,0
../mfcc_images/EMODB/wav/11b03Fc.png,1,0
../mfcc_images/EMODB/wav/08a04Ff.png,1,0
../mfcc_images/EMODB/wav/13b10Wa.png,0,0
../mfcc_images/EMODB/wav/11b01Lb.png,3,0
../mfcc_images/EMODB/wav/11b03Wb.png,0,0
../mfcc_images/EMODB/wav/03b01Nb.png,2,0
../mfcc_images/EMODB/wav/13a02Nc.png,2,0
../mfcc_images/EMODB/wav/16b03Fd.png,1,0
../mfcc_images/EMODB/wav/15a04Wb.png,0,0
../mfcc_images/EMODB/wav/14b02Fb.png,1,0
../mfcc_images/EMODB/wav/03a02Fc.png,1,0
../mfcc_images/EMODB/wav/09b10Nd.png,2,0
../mfcc_images/EMODB/wav/03b01Fa.png,1,0
../mfcc_images/EMODB/wav/03b03Nb.png,2,0
../mfcc_images/EMODB/wav/10b02Na.png,2,0
../mfcc_images/EMODB/wav/10a04Nb.png,2,0
../mfcc_images/EMODB/wav/15b09Ta.png,3,0
../mfcc_images/EMODB/wav/11a05Fc.png,1,0
../mfcc_images/EMODB/wav/09a01Fa.png,1,0
../mfcc_images/EMODB/wav/10b02La.png,3,0
../mfcc_images/EMODB/wav/03a04Fd.png,1,0
../mfcc_images/EMODB/wav/08b03Nb.png,2,0
../mfcc_images/EMODB/wav/11a02Wc.png,0,0
../mfcc_images/EMODB/wav/16a07Wa.png,0,0
../mfcc_images/EMODB/wav/16a04Nc.png,2,0
../mfcc_images/EMODB/wav/13a04Fc.png,1,0
../mfcc_images/EMODB/wav/15a02Na.png,2,0
../mfcc_images/EMODB/wav/16a07Nb.png,2,0
../mfcc_images/EMODB/wav/16a01Lb.png,3,0
../mfcc_images/EMODB/wav/08a02Na.png,2,0
../mfcc_images/EMODB/wav/16b10Lb.png,3,0
../mfcc_images/EMODB/wav/08a07Tb.png,3,0
../mfcc_images/EMODB/wav/16a07La.png,3,0
../mfcc_images/EMODB/wav/13a07Na.png,2,0
../mfcc_images/EMODB/wav/14a05Tc.png,3,0
../mfcc_images/EMODB/wav/16b09Fb.png,1,0
../mfcc_images/EMODB/wav/14a07Na.png,2,0
../mfcc_images/EMODB/wav/14a05Lb.png,3,0
../mfcc_images/EMODB/wav/14a05Ta.png,3,0
../mfcc_images/EMODB/wav/16a01Fc.png,1,0
../mfcc_images/EMODB/wav/16a07Fb.png,1,0
../mfcc_images/EMODB/wav/11a04Fd.png,1,0
../mfcc_images/EMODB/wav/08b02Nb.png,2,0
../mfcc_images/EMODB/wav/08a01Lc.png,3,0
../mfcc_images/EMODB/wav/15b02Tc.png,3,0
../mfcc_images/EMODB/wav/08b01Fd.png,1,0
../mfcc_images/EMODB/wav/13b09Fc.png,1,0
../mfcc_images/EMODB/wav/16b01Lc.png,3,0
../mfcc_images/EMODB/wav/09b03Fa.png,1,0
../mfcc_images/EMODB/wav/10a02Fa.png,1,0
../mfcc_images/EMODB/wav/15a07Ld.png,3,0
../mfcc_images/EMODB/wav/16b09Wb.png,0,0
../mfcc_images/EMODB/wav/11a01Wc.png,0,0
../mfcc_images/EMODB/wav/13a07Fd.png,1,0
../mfcc_images/EMODB/wav/14b03Ta.png,3,0
../mfcc_images/EMODB/wav/16b10Fb.png,1,0
../mfcc_images/EMODB/wav/11a01Ld.png,3,0
../mfcc_images/EMODB/wav/12b01Ta.png,3,0
